,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,casual,registered,cnt,range_times,day_type,weather_situation,season_type,range_times_encoded,range_times_clustered
4204,4205,2011-06-29,3,0,6,2,0,3,1,1,7,9,16,Dawn,Working Day,Clearly,Fall,1,1
4205,4206,2011-06-29,3,0,6,3,0,3,1,2,2,3,5,Dawn,Working Day,Misty,Fall,1,1
4206,4207,2011-06-29,3,0,6,4,0,3,1,1,0,5,5,Morning,Working Day,Clearly,Fall,3,2
4207,4208,2011-06-29,3,0,6,5,0,3,1,1,3,19,22,Morning,Working Day,Clearly,Fall,3,2
4208,4209,2011-06-29,3,0,6,6,0,3,1,1,12,104,116,Morning,Working Day,Clearly,Fall,3,2
4209,4210,2011-06-29,3,0,6,7,0,3,1,1,18,318,336,Morning,Working Day,Clearly,Fall,3,0
4210,4211,2011-06-29,3,0,6,8,0,3,1,1,41,499,540,Morning,Working Day,Clearly,Fall,3,0
4211,4212,2011-06-29,3,0,6,9,0,3,1,1,32,189,221,Morning,Working Day,Clearly,Fall,3,0
4212,4213,2011-06-29,3,0,6,10,0,3,1,1,31,95,126,Morning,Working Day,Clearly,Fall,3,2
4213,4214,2011-06-29,3,0,6,11,0,3,1,1,53,117,170,Afternoon,Working Day,Clearly,Fall,0,1
4214,4215,2011-06-29,3,0,6,12,0,3,1,1,55,188,243,Afternoon,Working Day,Clearly,Fall,0,1
4215,4216,2011-06-29,3,0,6,13,0,3,1,1,45,186,231,Afternoon,Working Day,Clearly,Fall,0,1
4216,4217,2011-06-29,3,0,6,14,0,3,1,1,50,138,188,Afternoon,Working Day,Clearly,Fall,0,1
4217,4218,2011-06-29,3,0,6,15,0,3,1,1,43,146,189,Afternoon,Working Day,Clearly,Fall,0,1
4218,4219,2011-06-29,3,0,6,16,0,3,1,1,60,268,328,Afternoon,Working Day,Clearly,Fall,0,1
4219,4220,2011-06-29,3,0,6,17,0,3,1,1,78,492,570,Evening,Working Day,Clearly,Fall,2,3
4220,4221,2011-06-29,3,0,6,18,0,3,1,1,78,510,588,Evening,Working Day,Clearly,Fall,2,3
4221,4222,2011-06-29,3,0,6,19,0,3,1,1,60,341,401,Night,Working Day,Clearly,Fall,4,0
4222,4223,2011-06-29,3,0,6,20,0,3,1,1,69,264,333,Night,Working Day,Clearly,Fall,4,0
4223,4224,2011-06-29,3,0,6,21,0,3,1,1,26,195,221,Night,Working Day,Clearly,Fall,4,0
4224,4225,2011-06-29,3,0,6,22,0,3,1,1,32,151,183,Night,Working Day,Clearly,Fall,4,2
4225,4226,2011-06-29,3,0,6,23,0,3,1,1,32,97,129,Night,Working Day,Clearly,Fall,4,2
4226,4227,2011-06-30,3,0,6,0,0,4,1,1,15,39,54,Dawn,Working Day,Clearly,Fall,1,1
4227,4228,2011-06-30,3,0,6,1,0,4,1,1,13,19,32,Dawn,Working Day,Clearly,Fall,1,1
4228,4229,2011-06-30,3,0,6,2,0,4,1,1,2,6,8,Dawn,Working Day,Clearly,Fall,1,1
4229,4230,2011-06-30,3,0,6,3,0,4,1,1,2,7,9,Dawn,Working Day,Clearly,Fall,1,1
4230,4231,2011-06-30,3,0,6,4,0,4,1,1,2,4,6,Morning,Working Day,Clearly,Fall,3,2
4231,4232,2011-06-30,3,0,6,5,0,4,1,1,1,24,25,Morning,Working Day,Clearly,Fall,3,2
4232,4233,2011-06-30,3,0,6,6,0,4,1,1,4,119,123,Morning,Working Day,Clearly,Fall,3,2
4233,4234,2011-06-30,3,0,6,7,0,4,1,1,29,291,320,Morning,Working Day,Clearly,Fall,3,0
4234,4235,2011-06-30,3,0,6,8,0,4,1,1,44,511,555,Morning,Working Day,Clearly,Fall,3,3
4235,4236,2011-06-30,3,0,6,9,0,4,1,1,33,227,260,Morning,Working Day,Clearly,Fall,3,0
4236,4237,2011-06-30,3,0,6,10,0,4,1,1,35,97,132,Morning,Working Day,Clearly,Fall,3,2
4237,4238,2011-06-30,3,0,6,11,0,4,1,1,47,122,169,Afternoon,Working Day,Clearly,Fall,0,1
4238,4239,2011-06-30,3,0,6,12,0,4,1,1,50,183,233,Afternoon,Working Day,Clearly,Fall,0,1
4239,4240,2011-06-30,3,0,6,13,0,4,1,1,70,162,232,Afternoon,Working Day,Clearly,Fall,0,1
4240,4241,2011-06-30,3,0,6,14,0,4,1,1,46,117,163,Afternoon,Working Day,Clearly,Fall,0,1
4241,4242,2011-06-30,3,0,6,15,0,4,1,1,64,176,240,Afternoon,Working Day,Clearly,Fall,0,1
4242,4243,2011-06-30,3,0,6,16,0,4,1,1,63,260,323,Afternoon,Working Day,Clearly,Fall,0,1
4243,4244,2011-06-30,3,0,6,17,0,4,1,1,98,496,594,Evening,Working Day,Clearly,Fall,2,3
4244,4245,2011-06-30,3,0,6,18,0,4,1,1,114,472,586,Evening,Working Day,Clearly,Fall,2,3
4245,4246,2011-06-30,3,0,6,19,0,4,1,1,89,366,455,Night,Working Day,Clearly,Fall,4,0
4246,4247,2011-06-30,3,0,6,20,0,4,1,1,55,285,340,Night,Working Day,Clearly,Fall,4,0
4247,4248,2011-06-30,3,0,6,21,0,4,1,1,81,242,323,Night,Working Day,Clearly,Fall,4,0
4248,4249,2011-06-30,3,0,6,22,0,4,1,1,43,164,207,Night,Working Day,Clearly,Fall,4,0
4249,4250,2011-06-30,3,0,6,23,0,4,1,1,27,99,126,Night,Working Day,Clearly,Fall,4,2
4250,4251,2011-07-01,3,0,7,0,0,5,1,1,20,48,68,Dawn,Working Day,Clearly,Fall,1,1
4251,4252,2011-07-01,3,0,7,1,0,5,1,1,15,16,31,Dawn,Working Day,Clearly,Fall,1,1
4252,4253,2011-07-01,3,0,7,2,0,5,1,1,6,7,13,Dawn,Working Day,Clearly,Fall,1,1
4253,4254,2011-07-01,3,0,7,3,0,5,1,1,5,6,11,Dawn,Working Day,Clearly,Fall,1,1
4254,4255,2011-07-01,3,0,7,4,0,5,1,1,1,5,6,Morning,Working Day,Clearly,Fall,3,2
4255,4256,2011-07-01,3,0,7,5,0,5,1,1,3,27,30,Morning,Working Day,Clearly,Fall,3,2
4256,4257,2011-07-01,3,0,7,6,0,5,1,1,11,97,108,Morning,Working Day,Clearly,Fall,3,2
4257,4258,2011-07-01,3,0,7,7,0,5,1,1,25,218,243,Morning,Working Day,Clearly,Fall,3,0
4258,4259,2011-07-01,3,0,7,8,0,5,1,1,39,453,492,Morning,Working Day,Clearly,Fall,3,0
4259,4260,2011-07-01,3,0,7,9,0,5,1,1,58,202,260,Morning,Working Day,Clearly,Fall,3,0
4260,4261,2011-07-01,3,0,7,10,0,5,1,1,61,109,170,Morning,Working Day,Clearly,Fall,3,2
4261,4262,2011-07-01,3,0,7,11,0,5,1,1,68,146,214,Afternoon,Working Day,Clearly,Fall,0,1
4262,4263,2011-07-01,3,0,7,12,0,5,1,1,83,180,263,Afternoon,Working Day,Clearly,Fall,0,1
4263,4264,2011-07-01,3,0,7,13,0,5,1,1,83,209,292,Afternoon,Working Day,Clearly,Fall,0,1
4264,4265,2011-07-01,3,0,7,14,0,5,1,1,78,225,303,Afternoon,Working Day,Clearly,Fall,0,1
4265,4266,2011-07-01,3,0,7,15,0,5,1,1,82,299,381,Afternoon,Working Day,Clearly,Fall,0,3
4266,4267,2011-07-01,3,0,7,16,0,5,1,1,85,342,427,Afternoon,Working Day,Clearly,Fall,0,3
4267,4268,2011-07-01,3,0,7,17,0,5,1,1,99,362,461,Evening,Working Day,Clearly,Fall,2,3
4268,4269,2011-07-01,3,0,7,18,0,5,1,1,98,324,422,Evening,Working Day,Clearly,Fall,2,3
4269,4270,2011-07-01,3,0,7,19,0,5,1,1,80,238,318,Night,Working Day,Clearly,Fall,4,0
4270,4271,2011-07-01,3,0,7,20,0,5,1,1,84,185,269,Night,Working Day,Clearly,Fall,4,0
4271,4272,2011-07-01,3,0,7,21,0,5,1,1,69,149,218,Night,Working Day,Clearly,Fall,4,0
4272,4273,2011-07-01,3,0,7,22,0,5,1,1,49,173,222,Night,Working Day,Clearly,Fall,4,0
4273,4274,2011-07-01,3,0,7,23,0,5,1,1,44,96,140,Night,Working Day,Clearly,Fall,4,2
4274,4275,2011-07-02,3,0,7,0,0,6,0,1,31,84,115,Dawn,Holiday,Clearly,Fall,1,1
4275,4276,2011-07-02,3,0,7,1,0,6,0,1,20,58,78,Dawn,Holiday,Clearly,Fall,1,1
4276,4277,2011-07-02,3,0,7,2,0,6,0,1,9,43,52,Dawn,Holiday,Clearly,Fall,1,1
4277,4278,2011-07-02,3,0,7,3,0,6,0,1,5,21,26,Dawn,Holiday,Clearly,Fall,1,1
4278,4279,2011-07-02,3,0,7,4,0,6,0,1,3,8,11,Morning,Holiday,Clearly,Fall,3,2
4279,4280,2011-07-02,3,0,7,5,0,6,0,1,1,13,14,Morning,Holiday,Clearly,Fall,3,2
4280,4281,2011-07-02,3,0,7,6,0,6,0,1,11,21,32,Morning,Holiday,Clearly,Fall,3,2
4281,4282,2011-07-02,3,0,7,7,0,6,0,1,10,35,45,Morning,Holiday,Clearly,Fall,3,2
4282,4283,2011-07-02,3,0,7,8,0,6,0,1,38,94,132,Morning,Holiday,Clearly,Fall,3,2
4283,4284,2011-07-02,3,0,7,9,0,6,0,1,55,124,179,Morning,Holiday,Clearly,Fall,3,2
4284,4285,2011-07-02,3,0,7,10,0,6,0,1,103,168,271,Morning,Holiday,Clearly,Fall,3,0
4285,4286,2011-07-02,3,0,7,11,0,6,0,1,144,213,357,Afternoon,Holiday,Clearly,Fall,0,3
4286,4287,2011-07-02,3,0,7,12,0,6,0,1,142,232,374,Afternoon,Holiday,Clearly,Fall,0,3
4287,4288,2011-07-02,3,0,7,13,0,6,0,1,178,226,404,Afternoon,Holiday,Clearly,Fall,0,3
4288,4289,2011-07-02,3,0,7,14,0,6,0,1,177,215,392,Afternoon,Holiday,Clearly,Fall,0,3
4289,4290,2011-07-02,3,0,7,15,0,6,0,1,168,163,331,Afternoon,Holiday,Clearly,Fall,0,1
4290,4291,2011-07-02,3,0,7,16,0,6,0,1,206,192,398,Afternoon,Holiday,Clearly,Fall,0,3
4291,4292,2011-07-02,3,0,7,17,0,6,0,1,179,170,349,Evening,Holiday,Clearly,Fall,2,0
4292,4293,2011-07-02,3,0,7,18,0,6,0,1,193,190,383,Evening,Holiday,Clearly,Fall,2,0
4293,4294,2011-07-02,3,0,7,19,0,6,0,1,156,149,305,Night,Holiday,Clearly,Fall,4,0
4294,4295,2011-07-02,3,0,7,20,0,6,0,1,136,148,284,Night,Holiday,Clearly,Fall,4,0
4295,4296,2011-07-02,3,0,7,21,0,6,0,1,95,137,232,Night,Holiday,Clearly,Fall,4,0
4296,4297,2011-07-02,3,0,7,22,0,6,0,1,78,123,201,Night,Holiday,Clearly,Fall,4,2
4297,4298,2011-07-02,3,0,7,23,0,6,0,1,66,88,154,Night,Holiday,Clearly,Fall,4,2
4298,4299,2011-07-03,3,0,7,0,0,0,0,1,47,97,144,Dawn,Holiday,Clearly,Fall,1,1
4299,4300,2011-07-03,3,0,7,1,0,0,0,2,23,55,78,Dawn,Holiday,Misty,Fall,1,1
4300,4301,2011-07-03,3,0,7,2,0,0,0,1,19,50,69,Dawn,Holiday,Clearly,Fall,1,1
4301,4302,2011-07-03,3,0,7,3,0,0,0,3,8,25,33,Dawn,Holiday,Rainy or Snowy,Fall,1,1
4302,4303,2011-07-03,3,0,7,4,0,0,0,3,3,2,5,Morning,Holiday,Rainy or Snowy,Fall,3,2
4303,4304,2011-07-03,3,0,7,5,0,0,0,3,0,1,1,Morning,Holiday,Rainy or Snowy,Fall,3,2
4304,4305,2011-07-03,3,0,7,6,0,0,0,2,0,3,3,Morning,Holiday,Misty,Fall,3,2
4305,4306,2011-07-03,3,0,7,7,0,0,0,2,3,22,25,Morning,Holiday,Misty,Fall,3,2
4306,4307,2011-07-03,3,0,7,8,0,0,0,1,39,53,92,Morning,Holiday,Clearly,Fall,3,2
4307,4308,2011-07-03,3,0,7,9,0,0,0,1,82,99,181,Morning,Holiday,Clearly,Fall,3,2
4308,4309,2011-07-03,3,0,7,10,0,0,0,1,131,133,264,Morning,Holiday,Clearly,Fall,3,0
4309,4310,2011-07-03,3,0,7,11,0,0,0,1,215,175,390,Afternoon,Holiday,Clearly,Fall,0,3
4310,4311,2011-07-03,3,0,7,12,0,0,0,1,198,206,404,Afternoon,Holiday,Clearly,Fall,0,3
4311,4312,2011-07-03,3,0,7,13,0,0,0,1,248,173,421,Afternoon,Holiday,Clearly,Fall,0,3
4312,4313,2011-07-03,3,0,7,14,0,0,0,1,225,150,375,Afternoon,Holiday,Clearly,Fall,0,3
4313,4314,2011-07-03,3,0,7,15,0,0,0,1,194,182,376,Afternoon,Holiday,Clearly,Fall,0,3
4314,4315,2011-07-03,3,0,7,16,0,0,0,1,195,219,414,Afternoon,Holiday,Clearly,Fall,0,3
4315,4316,2011-07-03,3,0,7,17,0,0,0,3,181,177,358,Evening,Holiday,Rainy or Snowy,Fall,2,0
4316,4317,2011-07-03,3,0,7,18,0,0,0,3,74,107,181,Evening,Holiday,Rainy or Snowy,Fall,2,2
4317,4318,2011-07-03,3,0,7,19,0,0,0,2,100,83,183,Night,Holiday,Misty,Fall,4,2
4318,4319,2011-07-03,3,0,7,20,0,0,0,3,83,93,176,Night,Holiday,Rainy or Snowy,Fall,4,2
4319,4320,2011-07-03,3,0,7,21,0,0,0,2,75,92,167,Night,Holiday,Misty,Fall,4,2
4320,4321,2011-07-03,3,0,7,22,0,0,0,2,69,93,162,Night,Holiday,Misty,Fall,4,2
4321,4322,2011-07-03,3,0,7,23,0,0,0,1,70,77,147,Night,Holiday,Clearly,Fall,4,2
4322,4323,2011-07-04,3,0,7,0,1,1,0,1,63,77,140,Dawn,Working Day,Clearly,Fall,1,1
4323,4324,2011-07-04,3,0,7,1,1,1,0,1,43,76,119,Dawn,Working Day,Clearly,Fall,1,1
4324,4325,2011-07-04,3,0,7,2,1,1,0,1,33,30,63,Dawn,Working Day,Clearly,Fall,1,1
4325,4326,2011-07-04,3,0,7,3,1,1,0,1,13,13,26,Dawn,Working Day,Clearly,Fall,1,1
4326,4327,2011-07-04,3,0,7,4,1,1,0,2,8,4,12,Morning,Working Day,Misty,Fall,3,2
4327,4328,2011-07-04,3,0,7,5,1,1,0,2,1,3,4,Morning,Working Day,Misty,Fall,3,2
4328,4329,2011-07-04,3,0,7,6,1,1,0,1,5,11,16,Morning,Working Day,Clearly,Fall,3,2
4329,4330,2011-07-04,3,0,7,7,1,1,0,1,17,19,36,Morning,Working Day,Clearly,Fall,3,2
4330,4331,2011-07-04,3,0,7,8,1,1,0,1,42,44,86,Morning,Working Day,Clearly,Fall,3,2
4331,4332,2011-07-04,3,0,7,9,1,1,0,2,142,96,238,Morning,Working Day,Misty,Fall,3,0
4332,4333,2011-07-04,3,0,7,10,1,1,0,2,166,114,280,Morning,Working Day,Misty,Fall,3,0
4333,4334,2011-07-04,3,0,7,11,1,1,0,2,177,172,349,Afternoon,Working Day,Misty,Fall,0,1
4334,4335,2011-07-04,3,0,7,12,1,1,0,2,237,210,447,Afternoon,Working Day,Misty,Fall,0,3
4335,4336,2011-07-04,3,0,7,13,1,1,0,2,242,181,423,Afternoon,Working Day,Misty,Fall,0,3
4336,4337,2011-07-04,3,0,7,14,1,1,0,1,235,173,408,Afternoon,Working Day,Clearly,Fall,0,3
4337,4338,2011-07-04,3,0,7,15,1,1,0,1,224,184,408,Afternoon,Working Day,Clearly,Fall,0,3
4338,4339,2011-07-04,3,0,7,16,1,1,0,1,236,216,452,Afternoon,Working Day,Clearly,Fall,0,3
4339,4340,2011-07-04,3,0,7,17,1,1,0,1,240,196,436,Evening,Working Day,Clearly,Fall,2,3
4340,4341,2011-07-04,3,0,7,18,1,1,0,1,222,196,418,Evening,Working Day,Clearly,Fall,2,3
4341,4342,2011-07-04,3,0,7,19,1,1,0,2,170,205,375,Night,Working Day,Misty,Fall,4,0
4342,4343,2011-07-04,3,0,7,20,1,1,0,2,195,191,386,Night,Working Day,Misty,Fall,4,0
4343,4344,2011-07-04,3,0,7,21,1,1,0,2,195,262,457,Night,Working Day,Misty,Fall,4,0
4344,4345,2011-07-04,3,0,7,22,1,1,0,2,115,211,326,Night,Working Day,Misty,Fall,4,0
4345,4346,2011-07-04,3,0,7,23,1,1,0,2,44,94,138,Night,Working Day,Misty,Fall,4,2
4346,4347,2011-07-05,3,0,7,0,0,2,1,2,19,36,55,Dawn,Working Day,Misty,Fall,1,1
4347,4348,2011-07-05,3,0,7,1,0,2,1,1,15,24,39,Dawn,Working Day,Clearly,Fall,1,1
4348,4349,2011-07-05,3,0,7,2,0,2,1,1,8,5,13,Dawn,Working Day,Clearly,Fall,1,1
4349,4350,2011-07-05,3,0,7,3,0,2,1,1,1,7,8,Dawn,Working Day,Clearly,Fall,1,1
4350,4351,2011-07-05,3,0,7,4,0,2,1,1,1,4,5,Morning,Working Day,Clearly,Fall,3,2
4351,4352,2011-07-05,3,0,7,5,0,2,1,1,1,19,20,Morning,Working Day,Clearly,Fall,3,2
4352,4353,2011-07-05,3,0,7,6,0,2,1,1,3,91,94,Morning,Working Day,Clearly,Fall,3,2
4353,4354,2011-07-05,3,0,7,7,0,2,1,1,22,248,270,Morning,Working Day,Clearly,Fall,3,0
4354,4355,2011-07-05,3,0,7,8,0,2,1,1,41,391,432,Morning,Working Day,Clearly,Fall,3,0
4355,4356,2011-07-05,3,0,7,9,0,2,1,1,50,177,227,Morning,Working Day,Clearly,Fall,3,0
4356,4357,2011-07-05,3,0,7,10,0,2,1,1,55,84,139,Morning,Working Day,Clearly,Fall,3,2
4357,4358,2011-07-05,3,0,7,11,0,2,1,1,75,97,172,Afternoon,Working Day,Clearly,Fall,0,1
4358,4359,2011-07-05,3,0,7,12,0,2,1,1,71,130,201,Afternoon,Working Day,Clearly,Fall,0,1
4359,4360,2011-07-05,3,0,7,13,0,2,1,1,67,136,203,Afternoon,Working Day,Clearly,Fall,0,1
4360,4361,2011-07-05,3,0,7,14,0,2,1,1,66,112,178,Afternoon,Working Day,Clearly,Fall,0,1
4361,4362,2011-07-05,3,0,7,15,0,2,1,1,51,111,162,Afternoon,Working Day,Clearly,Fall,0,1
4362,4363,2011-07-05,3,0,7,16,0,2,1,1,79,202,281,Afternoon,Working Day,Clearly,Fall,0,1
4363,4364,2011-07-05,3,0,7,17,0,2,1,1,79,466,545,Evening,Working Day,Clearly,Fall,2,3
4364,4365,2011-07-05,3,0,7,18,0,2,1,1,70,426,496,Evening,Working Day,Clearly,Fall,2,3
4365,4366,2011-07-05,3,0,7,19,0,2,1,1,71,297,368,Night,Working Day,Clearly,Fall,4,0
4366,4367,2011-07-05,3,0,7,20,0,2,1,1,59,225,284,Night,Working Day,Clearly,Fall,4,0
4367,4368,2011-07-05,3,0,7,21,0,2,1,1,77,168,245,Night,Working Day,Clearly,Fall,4,0
4368,4369,2011-07-05,3,0,7,22,0,2,1,1,31,124,155,Night,Working Day,Clearly,Fall,4,2
4369,4370,2011-07-05,3,0,7,23,0,2,1,1,19,54,73,Night,Working Day,Clearly,Fall,4,2
4370,4371,2011-07-06,3,0,7,0,0,3,1,1,11,26,37,Dawn,Working Day,Clearly,Fall,1,1
4371,4372,2011-07-06,3,0,7,1,0,3,1,1,4,11,15,Dawn,Working Day,Clearly,Fall,1,1
4372,4373,2011-07-06,3,0,7,2,0,3,1,1,1,4,5,Dawn,Working Day,Clearly,Fall,1,1
4373,4374,2011-07-06,3,0,7,3,0,3,1,1,0,6,6,Dawn,Working Day,Clearly,Fall,1,1
4374,4375,2011-07-06,3,0,7,4,0,3,1,2,0,6,6,Morning,Working Day,Misty,Fall,3,2
4375,4376,2011-07-06,3,0,7,5,0,3,1,1,5,30,35,Morning,Working Day,Clearly,Fall,3,2
4376,4377,2011-07-06,3,0,7,6,0,3,1,1,9,112,121,Morning,Working Day,Clearly,Fall,3,2
4377,4378,2011-07-06,3,0,7,7,0,3,1,2,24,288,312,Morning,Working Day,Misty,Fall,3,0
4378,4379,2011-07-06,3,0,7,8,0,3,1,2,31,397,428,Morning,Working Day,Misty,Fall,3,0
4379,4380,2011-07-06,3,0,7,9,0,3,1,3,31,158,189,Morning,Working Day,Rainy or Snowy,Fall,3,2
4380,4381,2011-07-06,3,0,7,10,0,3,1,3,13,30,43,Morning,Working Day,Rainy or Snowy,Fall,3,2
4381,4382,2011-07-06,3,0,7,11,0,3,1,2,24,103,127,Afternoon,Working Day,Misty,Fall,0,1
4382,4383,2011-07-06,3,0,7,12,0,3,1,2,38,114,152,Afternoon,Working Day,Misty,Fall,0,1
4383,4384,2011-07-06,3,0,7,13,0,3,1,2,33,107,140,Afternoon,Working Day,Misty,Fall,0,1
4384,4385,2011-07-06,3,0,7,14,0,3,1,1,50,113,163,Afternoon,Working Day,Clearly,Fall,0,1
4385,4386,2011-07-06,3,0,7,15,0,3,1,1,55,130,185,Afternoon,Working Day,Clearly,Fall,0,1
4386,4387,2011-07-06,3,0,7,16,0,3,1,1,57,218,275,Afternoon,Working Day,Clearly,Fall,0,1
4387,4388,2011-07-06,3,0,7,17,0,3,1,1,79,517,596,Evening,Working Day,Clearly,Fall,2,3
4388,4389,2011-07-06,3,0,7,18,0,3,1,1,77,486,563,Evening,Working Day,Clearly,Fall,2,3
4389,4390,2011-07-06,3,0,7,19,0,3,1,1,71,323,394,Night,Working Day,Clearly,Fall,4,0
4390,4391,2011-07-06,3,0,7,20,0,3,1,1,55,257,312,Night,Working Day,Clearly,Fall,4,0
4391,4392,2011-07-06,3,0,7,21,0,3,1,1,66,175,241,Night,Working Day,Clearly,Fall,4,0
4392,4393,2011-07-06,3,0,7,22,0,3,1,1,30,156,186,Night,Working Day,Clearly,Fall,4,2
4393,4394,2011-07-06,3,0,7,23,0,3,1,1,20,78,98,Night,Working Day,Clearly,Fall,4,2
4394,4395,2011-07-07,3,0,7,0,0,4,1,1,6,29,35,Dawn,Working Day,Clearly,Fall,1,1
4395,4396,2011-07-07,3,0,7,1,0,4,1,1,2,14,16,Dawn,Working Day,Clearly,Fall,1,1
4396,4397,2011-07-07,3,0,7,2,0,4,1,1,1,7,8,Dawn,Working Day,Clearly,Fall,1,1
4397,4398,2011-07-07,3,0,7,3,0,4,1,1,2,2,4,Dawn,Working Day,Clearly,Fall,1,1
4398,4399,2011-07-07,3,0,7,4,0,4,1,1,0,4,4,Morning,Working Day,Clearly,Fall,3,2
4399,4400,2011-07-07,3,0,7,5,0,4,1,1,2,30,32,Morning,Working Day,Clearly,Fall,3,2
4400,4401,2011-07-07,3,0,7,6,0,4,1,2,11,107,118,Morning,Working Day,Misty,Fall,3,2
4401,4402,2011-07-07,3,0,7,7,0,4,1,2,13,279,292,Morning,Working Day,Misty,Fall,3,0
4402,4403,2011-07-07,3,0,7,8,0,4,1,2,28,415,443,Morning,Working Day,Misty,Fall,3,0
4403,4404,2011-07-07,3,0,7,9,0,4,1,1,25,154,179,Morning,Working Day,Clearly,Fall,3,2
4404,4405,2011-07-07,3,0,7,10,0,4,1,1,29,72,101,Morning,Working Day,Clearly,Fall,3,2
4405,4406,2011-07-07,3,0,7,11,0,4,1,1,30,112,142,Afternoon,Working Day,Clearly,Fall,0,1
4406,4407,2011-07-07,3,0,7,12,0,4,1,1,32,139,171,Afternoon,Working Day,Clearly,Fall,0,1
4407,4408,2011-07-07,3,0,7,13,0,4,1,1,48,107,155,Afternoon,Working Day,Clearly,Fall,0,1
4408,4409,2011-07-07,3,0,7,14,0,4,1,1,39,121,160,Afternoon,Working Day,Clearly,Fall,0,1
4409,4410,2011-07-07,3,0,7,15,0,4,1,1,47,119,166,Afternoon,Working Day,Clearly,Fall,0,1
4410,4411,2011-07-07,3,0,7,16,0,4,1,1,47,218,265,Afternoon,Working Day,Clearly,Fall,0,1
4411,4412,2011-07-07,3,0,7,17,0,4,1,1,80,489,569,Evening,Working Day,Clearly,Fall,2,3
4412,4413,2011-07-07,3,0,7,18,0,4,1,1,70,492,562,Evening,Working Day,Clearly,Fall,2,3
4413,4414,2011-07-07,3,0,7,19,0,4,1,1,79,286,365,Night,Working Day,Clearly,Fall,4,0
4414,4415,2011-07-07,3,0,7,20,0,4,1,1,61,224,285,Night,Working Day,Clearly,Fall,4,0
4415,4416,2011-07-07,3,0,7,21,0,4,1,1,39,170,209,Night,Working Day,Clearly,Fall,4,0
4416,4417,2011-07-07,3,0,7,22,0,4,1,1,32,150,182,Night,Working Day,Clearly,Fall,4,2
4417,4418,2011-07-07,3,0,7,23,0,4,1,1,31,98,129,Night,Working Day,Clearly,Fall,4,2
4418,4419,2011-07-08,3,0,7,0,0,5,1,1,6,41,47,Dawn,Working Day,Clearly,Fall,1,1
4419,4420,2011-07-08,3,0,7,1,0,5,1,1,9,25,34,Dawn,Working Day,Clearly,Fall,1,1
4420,4421,2011-07-08,3,0,7,2,0,5,1,2,10,12,22,Dawn,Working Day,Misty,Fall,1,1
4421,4422,2011-07-08,3,0,7,3,0,5,1,1,2,4,6,Dawn,Working Day,Clearly,Fall,1,1
4422,4423,2011-07-08,3,0,7,4,0,5,1,1,7,4,11,Morning,Working Day,Clearly,Fall,3,2
4423,4424,2011-07-08,3,0,7,5,0,5,1,1,3,24,27,Morning,Working Day,Clearly,Fall,3,2
4424,4425,2011-07-08,3,0,7,6,0,5,1,1,11,91,102,Morning,Working Day,Clearly,Fall,3,2
4425,4426,2011-07-08,3,0,7,7,0,5,1,2,30,302,332,Morning,Working Day,Misty,Fall,3,0
4426,4427,2011-07-08,3,0,7,8,0,5,1,2,36,421,457,Morning,Working Day,Misty,Fall,3,0
4427,4428,2011-07-08,3,0,7,9,0,5,1,2,30,211,241,Morning,Working Day,Misty,Fall,3,0
4428,4429,2011-07-08,3,0,7,10,0,5,1,2,30,108,138,Morning,Working Day,Misty,Fall,3,2
4429,4430,2011-07-08,3,0,7,11,0,5,1,2,61,104,165,Afternoon,Working Day,Misty,Fall,0,1
4430,4431,2011-07-08,3,0,7,12,0,5,1,2,49,164,213,Afternoon,Working Day,Misty,Fall,0,1
4431,4432,2011-07-08,3,0,7,13,0,5,1,2,54,175,229,Afternoon,Working Day,Misty,Fall,0,1
4432,4433,2011-07-08,3,0,7,14,0,5,1,2,53,163,216,Afternoon,Working Day,Misty,Fall,0,1
4433,4434,2011-07-08,3,0,7,15,0,5,1,2,39,102,141,Afternoon,Working Day,Misty,Fall,0,1
4434,4435,2011-07-08,3,0,7,16,0,5,1,3,27,105,132,Afternoon,Working Day,Rainy or Snowy,Fall,0,1
4435,4436,2011-07-08,3,0,7,17,0,5,1,3,6,161,167,Evening,Working Day,Rainy or Snowy,Fall,2,2
4436,4437,2011-07-08,3,0,7,18,0,5,1,1,35,281,316,Evening,Working Day,Clearly,Fall,2,0
4437,4438,2011-07-08,3,0,7,19,0,5,1,1,45,225,270,Night,Working Day,Clearly,Fall,4,0
4438,4439,2011-07-08,3,0,7,20,0,5,1,1,30,220,250,Night,Working Day,Clearly,Fall,4,0
4439,4440,2011-07-08,3,0,7,21,0,5,1,2,46,158,204,Night,Working Day,Misty,Fall,4,0
4440,4441,2011-07-08,3,0,7,22,0,5,1,2,33,136,169,Night,Working Day,Misty,Fall,4,2
4441,4442,2011-07-08,3,0,7,23,0,5,1,2,40,111,151,Night,Working Day,Misty,Fall,4,2
4442,4443,2011-07-09,3,0,7,0,0,6,0,2,31,90,121,Dawn,Holiday,Misty,Fall,1,1
4443,4444,2011-07-09,3,0,7,1,0,6,0,2,5,48,53,Dawn,Holiday,Misty,Fall,1,1
4444,4445,2011-07-09,3,0,7,2,0,6,0,1,12,43,55,Dawn,Holiday,Clearly,Fall,1,1
4445,4446,2011-07-09,3,0,7,3,0,6,0,1,7,23,30,Dawn,Holiday,Clearly,Fall,1,1
